,codigo,bairro,valor,condominio+iptu,area,banheiros,suites,garagem,portao eletronico,DCE,salas,total de uni.,varanda,piscinas,posicao,descricao da vaga,unidade por andar,sol da manha,playground,circuito de tv,quadra de esporte,jardins,elevador,academia,hall social,sauna,salao de festas,quartos,portaria permanente
409,653116,praia do canto,410303.0,2.0,60.0,2.0,2.0,2.0,0,0,1,24,0,1, Lateral, a definir - sorteio ,6,0,0,0,0,0,1,0,1,1,0,2,0
113,646355,jardim camburi,265000.0,303.0,78.0,2.0,,1.0,1,0,1,12,0,0, Frente, privativa / coberta ,4,1,0,0,0,1,0,0,0,0,1,3,0
955,652202,barro vermelho,1240000.0,989.0,158.0,1.0,2.0,2.0,1,0,1,16,2,1, Frente, soltas e cobertas ,2,1,1,1,0,1,1,0,1,0,1,4,0
1072,645182,jardim limoeiro,90000.0,269.27,45.0,1.0,0.0,1.0,1,0,1,16,0,0, Fundo, ,4,0,1,1,1,1,0,0,0,0,1,2,1
439,562154,praia do canto,430000.0,490.01,63.0,2.0,1.0,1.0,1,0,1,32,2,1, Lateral, livres ,4,0,0,0,0,0,1,0,1,0,1,2,1
1174,565061,jardim limoeiro,180000.0,312.49,61.21,1.0,1.0,1.0,1,0,1,132,1,1, Frente, privativa descoberta ,11,0,1,1,1,1,1,1,0,1,1,3,1
983,643714,jardim camburi,1380000.0,804.66,150.0,3.0,2.0,3.0,1,0,1,200,1,1, Frente," 2 privativas, coberta e livres, 01 privativa, coberta e presa ",4,1,1,1,1,1,1,1,1,1,1,4,1
186,560088,centro,300000.0,413.0,100.0,1.0,0.0,1.0,1,1,1,48,0,0, Frente, privativa ,4,0,0,0,0,0,1,0,0,0,0,3,1
510,614797,barro vermelho,470000.0,612.08,115.0,1.0,,1.0,1,0,3,64,0,0, Fundo, privativa e coberta ,4,0,1,0,1,1,1,0,1,0,1,3,1
557,486594,santa luíza,500000.0,500.91,67.0,2.0,1.0,1.0,1,0,1,126,1,1, Lateral, coberta e livre ,6,1,1,1,0,1,1,1,1,1,1,2,1
1079,631146,jardim limoeiro,100000.0,157.0,45.31,1.0,0.0,1.0,1,0,1,16,0,0, Frente, rotativa descoberta  ,4,1,1,0,1,0,0,0,0,0,1,2,1
970,617376,santa luíza,1300000.0,910.0,150.0,1.0,2.0,2.0,1,1,1,64,1,0, Fundo, solidarias/cobertas/ ,4,1,0,1,0,1,1,0,1,0,1,4,1
406,664981,jardim da penha,410000.0,349.0,79.0,1.0,1.0,1.0,1,0,1,24,1,0, Fundo, privativa e coberta ,6,0,0,0,0,0,1,0,1,0,1,2,0
1368,664667,itapuã,375000.0,389.0,91.0,2.0,1.0,2.0,1,0,1,96,1,1, Lateral," cobertas, privativas e livres ",6,1,1,1,1,1,1,0,1,1,1,3,1
1194,631242,jardim limoeiro,200000.0,260.32,64.61,1.0,1.0,1.0,1,0,1,48,1,1, Frente, privativa coberta  ,6,0,1,0,1,1,1,1,1,0,1,3,1
1351,644773,praia da costa,350000.0,961.31,75.0,1.0,,1.0,1,1,1,42,0,0, Fundo, privativa e coberta ,6,0,0,1,0,1,1,0,1,0,1,2,1
1378,656225,praia de itaparica,395000.0,330.0,80.0,1.0,1.0,1.0,1,0,1,84,1,1, Frente, ,6,1,0,1,1,0,0,1,1,1,1,3,1
609,606140,praia do canto,550000.0,1022.0,105.0,3.0,1.0,2.0,1,0,1,22,1,1, Frente, privativas e cobertas ,2,0,0,1,0,0,1,0,1,0,1,3,1
447,646085,santa lúcia,432000.0,500.0,73.43,2.0,1.0,2.0,1,0,1,32,1,1, Fundo," privativas, solidárias e cobertas ",8,0,0,1,0,0,1,1,1,0,1,2,0
1359,655389,praia de itaparica,353958.33,1018.2,71.41,1.0,1.0,2.0,0,0,1,228,1,1, Frente, privativa - nº 58 e 58a t ,12,1,1,1,0,1,1,1,1,1,1,2,1
1143,648578,colina de laranjeiras,145000.0,214.25,47.48,1.0,,1.0,1,0,1,64,1,1, Frente," privativa, livre ",8,1,1,1,1,1,1,1,1,0,1,2,1
1428,642458,praia da costa,575000.0,473.94,103.0,2.0,1.0,2.0,1,1,1,320,1,1, Fundo," presa, pav g ",8,0,1,1,0,0,1,1,1,0,1,3,0
34,654050,jardim camburi,215000.0,330.41,91.0,1.0,,1.0,1,0,1,12,1,0, Frente, coberta e rotativa  ,4,1,0,0,0,1,0,0,0,0,0,3,0
1334,644612,itapuã,320000.0,426.0,90.0,1.0,1.0,1.0,1,0,1,272,1,0, Lateral, privativa/descoberta ,4,1,1,1,1,1,0,1,1,1,1,3,1
642,536914,jardim camburi,580000.0,560.0,99.0,1.0,1.0,2.0,1,0,1,0,1,1, Frente, cobertas e vinculadas ,0,1,1,1,0,1,1,0,1,1,1,3,1
741,637560,praia do canto,680000.0,471.0,160.0,2.0,1.0,1.0,1,1,1,40,1,1, Frente, privativa coberta ,4,0,0,0,0,1,1,0,1,0,0,3,1
1513,660390,praia da costa,1250000.0,1.0,164.0,1.0,3.0,3.0,0,1,2,40,2,0, Fundo, privativa e coberta ,4,1,0,0,0,1,1,0,1,1,1,4,1
493,666500,praia do canto,450000.0,491.27,75.0,2.0,1.0,1.0,1,0,1,32,2,1, Fundo," coberta, privativa e livre ",4,1,0,1,0,1,1,1,1,0,0,2,1
928,415682,jardim da penha,1080000.0,1070.0,170.0,2.0,2.0,2.0,1,1,2,20,2,0, Lateral, cobertas e solidárias ,4,1,0,1,0,1,1,1,1,1,1,4,1
1062,133458,praia do canto,3200000.0,3298.15,500.0,8.0,4.0,4.0,1,1,2,12,1,1, Frente, livres e cobertas ,1,1,1,1,0,1,1,0,1,1,1,4,1
